Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method
0x0e4e53a97f3caa4a1c035473d74565d71dad58e61acae940d896ac6fe7c8a0c1,31791233,1694863976,9/16/2023 11:32,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x943db96bb56ec78d9a3c4bb3ab74423bf19854f4,"1,209.77",Multicall
0x57a09625f8dd5016f3b474436a974f4008b166541a2cb41c29f8c74870e363d2,31791249,1694864024,9/16/2023 11:33,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,926.5747,Transfer
0x87cbdfd3d7bc26cf555e23f09a97bf6f796a1d6b7c35a2deb9c10cb6ee285596,31791249,1694864024,9/16/2023 11:33,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,926.5747,-
0xf01f605fc9c33f35f757dc1092db434c988d7d8a367252fda212da0aed252f07,31791505,1694864792,9/16/2023 11:46,0x6663adb5477410b3d78ba99edf837a7ef85717ca,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"1,781.88",Multicall
0xd31d8c2ef2cd379e4be2bbc5a4f4166ea044212308d4a197118bfc93436c3f0a,31791505,1694864792,9/16/2023 11:46,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,780.7878922,-
0x365573b92a756bae9bb5803d75215d57a0ca80be7d3841babb0ae381e96481e9,31791519,1694864834,9/16/2023 11:47,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0x5cfe25a486f2e37f7f9396350747e873cc933f82,586.5159,Transfer
0x3db53b25b6d6cd0c77ba65e0dc4b0e1782d9076a769ed14e7a1f6e1adb855ddb,31791541,1694864900,9/16/2023 11:48,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x000000000000d43e334f64e2ae7a8cf488f9ca91,217.9949917,-
0x48920c931936d89b6b77237d46029a3c00ab7a65a37681a5fb4d3895cd8cd3c8,31791541,1694864900,9/16/2023 11:48,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x1fe2099942f35f67d0d0d3b9dfc4a8bd535c3d60,"1,596.00",Multicall
0xc13ce3cd1c1ad6e8ddd3ce3b44eb63c86d5abe32543b162278c43df75939290f,31791541,1694864900,9/16/2023 11:48,0x000000000000d43e334f64e2ae7a8cf488f9ca91,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,217.9949917,-
0x0a203935a62b9aa4e4eb5e4a1ab8ac6c3685cd1e8d0308a85c05e678ec8b4c1a,31791589,1694865044,9/16/2023 11:50,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,780.7878922,Transfer
0x268b2ebdfc38f26a522a2f3c7e2346665a85d75866d2873d150276a930c106f2,31791958,1694866151,9/16/2023 12:09,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x6654d0b02e88ddc0f6abe684e10f3b5aa7cf0173,606.1049525,Claim Distribution
